order,close_time,cmd,symbol,true_volume,open_price,close_price,storage,commission,true_profit
130624733,2025-02-10 02:55:10,SELL,EURUSD.pro,0.003266,1.03122,1.03108,0,0,0.05
130625135,2025-02-10 02:55:11,SELL,EURUSD.pro,0.006533,1.03177,1.03109,0,0,0.44
130627396,2025-02-10 03:30:38,SELL,EURUSD.pro,0.003266,1.03096,1.03046,0,0,0.16
130625381,2025-02-10 05:33:10,BUY,EURUSD.pro,0.003266,1.03169,1.03106,0,0,-0.21
130626010,2025-02-10 05:33:11,BUY,EURUSD.pro,0.006533,1.03115,1.03105,0,0,-0.07
130628001,2025-02-10 05:33:11,BUY,EURUSD.pro,0.009801,1.0305,1.03105,0,0,0.54
130631127,2025-02-10 05:33:12,BUY,EURUSD.pro,0.013067,1.03001,1.0310400000000002,0,0,1.35
130634718,2025-02-10 06:18:32,BUY,EURUSD.pro,0.003266,1.03096,1.03147,0,0,0.17
130636417,2025-02-10 07:29:41,BUY,EURUSD.pro,0.003266,1.03155,1.03208,0,0,0.17
130639870,2025-02-10 09:05:58,BUY,EURUSD.pro,0.003266,1.03217,1.0323,0,0,0.04
130640676,2025-02-10 09:05:58,BUY,EURUSD.pro,0.006534,1.0316,1.0323,0,0,0.46
130629898,2025-02-10 09:28:26,SELL,EURUSD.pro,0.003266,1.03036,1.03119,0,0,-0.27
130633149,2025-02-10 09:28:27,SELL,EURUSD.pro,0.006533,1.0309,1.03119,0,0,-0.19
130635766,2025-02-10 09:28:27,SELL,EURUSD.pro,0.009801,1.03144,1.03116,0,0,0.27
130639102,2025-02-10 09:28:28,SELL,EURUSD.pro,0.013067,1.03193,1.03118,0,0,0.98
130644095,2025-02-10 09:28:29,SELL,EURUSD.pro,0.016333,1.0324200000000001,1.0311700000000001,0,0,2.04
130646531,2025-02-10 10:18:07,SELL,EURUSD.pro,0.003267,1.03131,1.03081,0,0,0.16
130645630,2025-02-10 10:28:32,BUY,EURUSD.pro,0.003267,1.03129,1.03178,0,0,0.16
130650017,2025-02-10 11:03:20,BUY,EURUSD.pro,0.003266,1.03203,1.03255,0,0,0.17
130655871,2025-02-10 12:45:05,BUY,EURUSD.pro,0.003266,1.03273,1.03329,0,0,0.18
130649159,2025-02-10 13:58:06,SELL,EURUSD.pro,0.003266,1.03161,1.03228,0,0,-0.22
130650470,2025-02-10 13:58:06,SELL,EURUSD.pro,0.006534,1.03225,1.03228,0,0,-0.02
130651327,2025-02-10 13:58:07,SELL,EURUSD.pro,0.009801,1.0328,1.03228,0,0,0.51
130653832,2025-02-10 13:58:08,SELL,EURUSD.pro,0.013067,1.03335,1.0322900000000002,0,0,1.39
130691704,2025-02-11 03:36:18,SELL,EURUSD.pro,0.003662,1.03055,1.03005,0,0,0.18
130694648,2025-02-11 04:39:47,SELL,EURUSD.pro,0.003661,1.03018,1.02967,0,0,0.19
130690369,2025-02-11 06:50:59,BUY,EURUSD.pro,0.003662,1.0302,1.03037,0,0,0.06
130696618,2025-02-11 06:50:59,BUY,EURUSD.pro,0.007315,1.02969,1.03037,0,0,0.5
130707033,2025-02-11 08:28:53,BUY,EURUSD.pro,0.003652,1.03041,1.03092,0,0,0.19
130712067,2025-02-11 10:40:49,BUY,EURUSD.pro,0.003652,1.03051,1.03101,0,0,0.18
130719204,2025-02-11 12:12:34,BUY,EURUSD.pro,0.003652,1.0316,1.03211,0,0,0.19
130720651,2025-02-11 14:12:40,BUY,EURUSD.pro,0.003652,1.03231,1.03239,0,0,0.03
130722216,2025-02-11 14:12:41,BUY,EURUSD.pro,0.007304,1.03166,1.03239,0,0,0.53
130755273,2025-02-12 03:48:46,BUY,EURUSD.pro,0.003596,1.03578,1.03629,0,0,0.18
130760240,2025-02-12 09:19:57,BUY,EURUSD.pro,0.003597,1.03639,1.03659,0,0,0.07
130765094,2025-02-12 09:19:57,BUY,EURUSD.pro,0.007192,1.03589,1.03659,0,0,0.5
130769531,2025-02-12 09:51:31,BUY,EURUSD.pro,0.003596,1.03659,1.03713,0,0,0.19
130773644,2025-02-12 12:08:23,BUY,EURUSD.pro,0.003595,1.03749,1.03765,0,0,0.06
130774563,2025-02-12 12:08:23,BUY,EURUSD.pro,0.007191,1.03695,1.03765,0,0,0.5
130777703,2025-02-12 13:09:16,BUY,EURUSD.pro,0.003595,1.03721,1.03774,0,0,0.19
130702825,2025-02-12 15:30:01,SELL,EURUSD.pro,0.003652,1.02995,1.0335,0,0,-1.3
130705782,2025-02-12 15:30:02,SELL,EURUSD.pro,0.007304,1.03048,1.03317,0,0,-1.96
130715082,2025-02-12 15:30:03,SELL,EURUSD.pro,0.010956,1.03156,1.03325,0,0,-1.85
130717087,2025-02-12 15:30:04,SELL,EURUSD.pro,0.014608,1.0321099999999999,1.0329,0,0,-1.15
130725678,2025-02-12 15:30:05,SELL,EURUSD.pro,0.018259,1.03272,1.03308,0,0,-0.66
130733898,2025-02-12 15:30:05,SELL,EURUSD.pro,0.02191,1.0332299999999999,1.03315,0,0,0.18
130737114,2025-02-12 15:30:06,SELL,EURUSD.pro,0.025563,1.0337100000000001,1.0328300000000001,0,0,2.25
130740292,2025-02-12 15:30:07,SELL,EURUSD.pro,0.029214,1.0342,1.0329499999999998,0,0,3.65
130740925,2025-02-12 15:30:09,SELL,EURUSD.pro,0.032867,1.0347199999999999,1.03315,0,0,5.16
130747664,2025-02-12 15:30:09,SELL,EURUSD.pro,0.035959,1.03634,1.0336400000000001,0,0,9.71
130748294,2025-02-12 15:30:10,SELL,EURUSD.pro,0.039549,1.03731,1.03441,0,0,11.47
130771593,2025-02-12 15:30:11,SELL,EURUSD.pro,0.043141,1.03781,1.0335800000000002,0,0,18.25
130780081,2025-02-12 15:30:12,SELL,EURUSD.pro,0.046734,1.03827,1.0336800000000002,0,0,21.45
130825836,2025-02-13 02:57:47,SELL,EURUSD.pro,0.003599,1.03925,1.0391,0,0,0.05
130827075,2025-02-13 02:57:48,SELL,EURUSD.pro,0.007198,1.03978,1.0391,0,0,0.49
130826539,2025-02-13 03:45:41,BUY,EURUSD.pro,0.003599,1.03969,1.0398,0,0,0.04
130827927,2025-02-13 03:45:42,BUY,EURUSD.pro,0.007198,1.0391,1.0398,0,0,0.5
130830780,2025-02-13 04:30:59,BUY,EURUSD.pro,0.003563,1.03987,1.04039,0,0,0.19
130832873,2025-02-13 05:18:08,BUY,EURUSD.pro,0.003563,1.04056,1.04106,0,0,0.18
130836341,2025-02-13 06:03:58,BUY,EURUSD.pro,0.003563,1.04193,1.04244,0,0,0.18
130838173,2025-02-13 06:37:01,BUY,EURUSD.pro,0.003478,1.04249,1.043,0,0,0.18
130829098,2025-02-13 10:08:49,SELL,EURUSD.pro,0.003599,1.03941,1.04184,0,0,-0.87
130829839,2025-02-13 10:08:50,SELL,EURUSD.pro,0.007127,1.03992,1.04184,0,0,-1.37
130831471,2025-02-13 10:08:50,SELL,EURUSD.pro,0.010691,1.0404799999999998,1.04186,0,0,-1.48
130833650,2025-02-13 10:08:51,SELL,EURUSD.pro,0.014255,1.04102,1.04186,0,0,-1.2
130835561,2025-02-13 10:08:51,SELL,EURUSD.pro,0.017819,1.0416299999999998,1.04186,0,0,-0.41
130836991,2025-02-13 10:08:52,SELL,EURUSD.pro,0.020874,1.04213,1.0418500000000002,0,0,0.58
130838964,2025-02-13 10:08:53,SELL,EURUSD.pro,0.024352,1.04273,1.0418699999999999,0,0,2.09
130840729,2025-02-13 10:08:53,SELL,EURUSD.pro,0.02783,1.04329,1.04186,0,0,3.98
130842804,2025-02-13 10:08:54,SELL,EURUSD.pro,0.031307,1.04379,1.04186,0,0,6.04
130852161,2025-02-13 10:36:59,SELL,EURUSD.pro,0.003479,1.04164,1.04153,0,0,0.04
130852988,2025-02-13 10:37:00,SELL,EURUSD.pro,0.006958,1.04225,1.04151,0,0,0.51
130842131,2025-02-13 12:12:38,BUY,EURUSD.pro,0.003478,1.04359,1.04269,0,0,-0.31
130847247,2025-02-13 12:12:38,BUY,EURUSD.pro,0.006957,1.04302,1.04269,0,0,-0.23
130849653,2025-02-13 12:12:39,BUY,EURUSD.pro,0.010436,1.0425,1.0426799999999998,0,0,0.19
130851195,2025-02-13 12:12:40,BUY,EURUSD.pro,0.013916,1.04199,1.0427199999999999,0,0,1.02
130854491,2025-02-13 12:12:40,BUY,EURUSD.pro,0.017395,1.0414899999999998,1.04271,0,0,2.12
130855674,2025-02-13 12:49:58,SELL,EURUSD.pro,0.003479,1.04108,1.04166,0,0,-0.2
130856599,2025-02-13 12:49:58,SELL,EURUSD.pro,0.006959,1.04164,1.04166,0,0,-0.01
130858143,2025-02-13 12:49:59,SELL,EURUSD.pro,0.010437,1.0422,1.04168,0,0,0.54
130859794,2025-02-13 12:50:00,SELL,EURUSD.pro,0.013916,1.0426900000000001,1.0416599999999998,0,0,1.43
130860125,2025-02-13 13:10:26,BUY,EURUSD.pro,0.003479,1.04279,1.04266,0,0,-0.05
130861740,2025-02-13 13:10:27,BUY,EURUSD.pro,0.006958,1.04229,1.04267,0,0,0.26
130863117,2025-02-13 13:10:27,BUY,EURUSD.pro,0.010437,1.0416599999999998,1.04266,0,0,1.04
130993406,2025-02-17 02:57:56,BUY,EURUSD.pro,0.003373,1.04914,1.04928,0,0,0.05
130993663,2025-02-17 02:57:57,BUY,EURUSD.pro,0.006748,1.04863,1.04927,0,0,0.43
130995014,2025-02-17 06:04:02,SELL,EURUSD.pro,0.003373,1.04897,1.04928,0,0,-0.1
130995847,2025-02-17 06:04:02,SELL,EURUSD.pro,0.006748,1.04963,1.04928,0,0,0.24
130998048,2025-02-17 06:04:03,SELL,EURUSD.pro,0.010121,1.05013,1.0492899999999998,0,0,0.85
